workload,phase,backend,device,status,n_samples,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
gp_likelihood_logistic,value,numpy_oracle,cpu,pass,4096,48,9.348529177562644e-05,scalar_or_norm,-3751.8597235190236,0.0,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,fd_error=7.378e-10; adjoint_error=2.842e-14
gp_likelihood_logistic,jvp,numpy_oracle,cpu,pass,4096,48,8.735729109806319e-05,scalar_or_norm,25.701507239147045,0.0,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,fd_error=7.378e-10; adjoint_error=2.842e-14
gp_likelihood_logistic,vjp,numpy_oracle,cpu,pass,4096,48,8.606402116129175e-05,scalar_or_norm,61.786942421623635,0.0,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,fd_error=7.378e-10; adjoint_error=2.842e-14
gp_likelihood_probit,value,numpy_oracle,cpu,pass,4096,48,0.0008983646669851927,scalar_or_norm,-5564.7638224069815,0.0,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,fd_error=3.945e-09; adjoint_error=3.126e-13
gp_likelihood_probit,jvp,numpy_oracle,cpu,pass,4096,48,0.0008922796660044696,scalar_or_norm,44.45714118052138,0.0,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,fd_error=3.945e-09; adjoint_error=3.126e-13
gp_likelihood_probit,vjp,numpy_oracle,cpu,pass,4096,48,0.0008940383959270548,scalar_or_norm,148.65572205099923,0.0,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,fd_error=3.945e-09; adjoint_error=3.126e-13
gp_likelihood_logistic,value,fortml,cpu,pass,4096,48,3.13711875e-05,scalar_or_norm,-3751.8597235190273,3.637978807091713e-12,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,strict scalar FortML release-app protocol; host execution
gp_likelihood_logistic,jvp,fortml,cpu,pass,4096,48,5.7774895833333336e-05,scalar_or_norm,25.70150723914705,3.552713678800501e-15,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,strict scalar FortML release-app protocol; host execution
gp_likelihood_logistic,vjp,fortml,cpu,pass,4096,48,2.486872916666667e-05,scalar_or_norm,61.78694242162363,7.105427357601002e-15,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,strict scalar FortML release-app protocol; host execution
gp_likelihood_probit,value,fortml,cpu,pass,4096,48,8.284275e-05,scalar_or_norm,-5564.763822406987,5.4569682106375694e-12,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,strict scalar FortML release-app protocol; host execution
gp_likelihood_probit,jvp,fortml,cpu,pass,4096,48,0.000163033625,scalar_or_norm,44.4571411805214,1.4210854715202004e-14,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,strict scalar FortML release-app protocol; host execution
gp_likelihood_probit,vjp,fortml,cpu,pass,4096,48,7.5147e-05,scalar_or_norm,148.65572205099917,5.684341886080802e-14,independent NumPy signed-margin likelihood,3.14.6,2.5.1,263b6b41003d7e6afc6f1ba695f1681c7c0b8e99,3784bbd8c894e1a9714fb1e243af11dca26f621c,gfortran,-O3,strict scalar FortML release-app protocol; host execution
